Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Genero,Pais,Provincia,Canton 
ASALTO,ARMA BLANCA,04/06/15,21:00:00 - 23:59:59,PERSONA,ESTUDIANTE [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,UPALA 
ASALTO,ARMA BLANCA,04/06/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,LIMON,MATINA 
ASALTO,ARMA BLANCA,04/08/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Menor de edad,HOMBRE,COSTA RICA,CARTAGO,EL GUARCO 
ASALTO,ARMA BLANCA,01/11/15,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA 
ASALTO,ARMA BLANCA,01/11/15,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,LIBERIA 
ASALTO,ARMA BLANCA,01/08/15,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,CARTAGO,EL GUARCO 
ASALTO,ARMA BLANCA,01/12/15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,SANTA CRUZ 
ASALTO,ARMA BLANCA,01/07/15,12:00:00 - 14:59:59,OTROS,BICICLETA [OTROS],Mayor de edad,HOMBRE,NICARAGUA,LIMON,POCOCI 
ASALTO,ARMA BLANCA,01/10/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,ALEMANIA,SAN JOSE,SAN JOSE 
ASALTO,ARMA BLANCA,01/01/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,SANTA BARBARA 
ASALTO,ARMA BLANCA,01/01/15,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE 
ASALTO,ARMA BLANCA,01/10/15,18:00:00 - 20:59:59,OTROS,NO DEFINIDO [OTROS],Menor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,ARMA BLANCA,01/11/15,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,ARMA BLANCA,01/12/15,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,CARTAGO 
ASALTO,ARMA BLANCA,01/10/15,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA 
ASALTO,ARMA BLANCA,01/14/15,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COLOMBIA,LIMON,POCOCI 
ASALTO,ARMA BLANCA,01/14/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,ESCAZU 
ASALTO,ARMA BLANCA,01/17/15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE 
ASALTO,ARMA BLANCA,01/17/15,09:00:00 - 11:59:59,PERSONA,CLIENTE HOTEL/MOTEL/PENSION [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS 
ASALTO,ARMA BLANCA,01/21/15,03:00:00 - 05:59:59,PERSONA,TURISTA/EXTRANJERO [PERSONA],Mayor de edad,MUJER,ALEMANIA,LIMON,TALAMANCA 
ASALTO,ARMA BLANCA,01/21/15,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,MONTES DE OCA 
ASALTO,ARMA BLANCA,01/23/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,HEREDIA,HEREDIA 
ASALTO,ARMA BLANCA,01/23/15,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,ARMA BLANCA,01/24/15,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,LIBERIA 
ASALTO,ARMA BLANCA,01/28/15,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,HEREDIA,SAN RAFAEL 
ASALTO,ARMA BLANCA,01/28/15,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,QUEPOS 
ASALTO,ARMA BLANCA,01/29/15,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,GOICOECHEA 
ASALTO,ARMA BLANCA,01/29/15,09:00:00 - 11:59:59,PERSONA,CLIENTE LOCAL COMERCIAL [PERSONA],Adulto Mayor,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,ARMA BLANCA,01/31/15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,CARTAGO 
ASALTO,ARMA BLANCA,02/02/15,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,CARTAGO,PARAISO 
